case,run,VB,time,DOC,feed,material,smcAC,smcDC,vib_table,vib_spindle,AE_table,AE_spindle
1000,,,,,,,,,,,,
2279,,,,,,,,,,,,
2286,,,,,,,,,,,,
2296,,,,,,,,,,,,
2299,,,,,,,,,,,,
2290,,,,,,,,,,,,
2268,,,,,,,,,,,,
2240,,,,,,,,,,,,
2214,,,,,,,,,,,,
2203,,,,,,,,,,,,
2200,,,,,,,,,,,,
2187,,,,,,,,,,,,
2163,,,,,,,,,,,,
2150,,,,,,,,,,,,
2167,,,,,,,,,,,,
2200,,,,,,,,,,,,
2222,,,,,,,,,,,,
2217,,,,,,,,,,,,
2184,,,,,,,,,,,,
2145,,,,,,,,,,,,
2122,,,,,,,,,,,,
2131,,,,,,,,,,,,
2169,,,,,,,,,,,,
2206,,,,,,,,,,,,
2228,,,,,,,,,,,,
2226,,,,,,,,,,,,
2194,,,,,,,,,,,,
2158,,,,,,,,,,,,
2140,,,,,,,,,,,,
2147,,,,,,,,,,,,
2171,,,,,,,,,,,,
2195,,,,,,,,,,,,
2208,,,,,,,,,,,,
2209,,,,,,,,,,,,
2200,,,,,,,,,,,,
2191,,,,,,,,,,,,
2190,,,,,,,,,,,,
2203,,,,,,,,,,,,
2227,,,,,,,,,,,,
2248,,,,,,,,,,,,
2264,,,,,,,,,,,,
2280,,,,,,,,,,,,
2304,,,,,,,,,,,,
2333,,,,,,,,,,,,
2359,,,,,,,,,,,,
2379,,,,,,,,,,,,
2402,,,,,,,,,,,,
2437,,,,,,,,,,,,
2495,,,,,,,,,,,,
2566,,,,,,,,,,,,
2623,,,,,,,,,,,,
2633,,,,,,,,,,,,
2611,,,,,,,,,,,,
2588,,,,,,,,,,,,
2595,,,,,,,,,,,,
2634,,,,,,,,,,,,
2680,,,,,,,,,,,,
2695,,,,,,,,,,,,
2659,,,,,,,,,,,,
2597,,,,,,,,,,,,
2543,,,,,,,,,,,,
2527,,,,,,,,,,,,
2554,,,,,,,,,,,,
2594,,,,,,,,,,,,
2609,,,,,,,,,,,,
2579,,,,,,,,,,,,
2514,,,,,,,,,,,,
2458,,,,,,,,,,,,
2425,,,,,,,,,,,,
2412,,,,,,,,,,,,
2404,,,,,,,,,,,,
2387,,,,,,,,,,,,
2371,,,,,,,,,,,,
2366,,,,,,,,,,,,
2373,,,,,,,,,,,,
2388,,,,,,,,,,,,
2405,,,,,,,,,,,,
2407,,,,,,,,,,,,
2386,,,,,,,,,,,,
2362,,,,,,,,,,,,
2352,,,,,,,,,,,,
2359,,,,,,,,,,,,
2372,,,,,,,,,,,,
2381,,,,,,,,,,,,
2384,,,,,,,,,,,,
2382,,,,,,,,,,,,
2372,,,,,,,,,,,,
2358,,,,,,,,,,,,
2349,,,,,,,,,,,,
2353,,,,,,,,,,,,
2362,,,,,,,,,,,,
2356,,,,,,,,,,,,
2332,,,,,,,,,,,,
2304,,,,,,,,,,,,
2279,,,,,,,,,,,,
2265,,,,,,,,,,,,
2249,,,,,,,,,,,,
2221,,,,,,,,,,,,
2181,,,,,,,,,,,,
2158,,,,,,,,,,,,
2165,,,,,,,,,,,,
2199,,,,,,,,,,,,
2236,,,,,,,,,,,,
2248,,,,,,,,,,,,
2227,,,,,,,,,,,,
2184,,,,,,,,,,,,
2146,,,,,,,,,,,,
2144,,,,,,,,,,,,
2172,,,,,,,,,,,,
2205,,,,,,,,,,,,
2224,,,,,,,,,,,,
2218,,,,,,,,,,,,
2203,,,,,,,,,,,,
2187,,,,,,,,,,,,
2178,,,,,,,,,,,,
2177,,,,,,,,,,,,
2187,,,,,,,,,,,,
2206,,,,,,,,,,,,
2224,,,,,,,,,,,,
